FY,Month,Código,consumption,rework consumption,production packing,rework generation,sackoff,Cost Sackoff
2024-2025,6,PT0001,-650.01,,603,28.453,"-18,56","($33402,60)"
2024-2025,7,PT0001,-1965.46,,1870.975,83.817,"-10,67","($19202,40)"
2024-2025,8,PT0001,-1605.19,-4.95,1350.975,71.2915,"-12,86","($23154,30)"
2024-2025,6,PT0002,-1244.95,,1206.925,39.113,"1,09","$2012,80"
2024-2025,7,PT0002,-1480.24,,1407.85,68.7165,"-3,67","($6795,98)"
2024-2025,8,PT0002,-875.16,,834.35,36.746,"-4,06","($7518,40)"
2024-2025,9,PT0002,-1060.05,,1016.85,41.5595,"-1,64","($3034,92)"
2024-2025,10,PT0002,-1470.18,,1424.375,60.7785,"14,97","$27700,97"
2024-2025,11,PT0002,-1234.3,,1170.825,56.0315,"-7,44","($13770,47)"
2024-2025,6,PT0003,-225.01,,213.2,7.698,"-4,11","($7196,00)"
2024-2025,7,PT0003,-575.09,,547.725,29.399,"2,03","$3559,50"
2024-2025,8,PT0003,-385.08,,357.85,15.406,"-11,82","($20692,00)"
2024-2025,9,PT0003,-555.07,,526.4,22.2415,"-6,43","($11249,88)"
2024-2025,10,PT0003,-260.08,,244.975,8.832,"-6,27","($10977,75)"
2024-2025,11,PT0003,-546.53,,510.625,24.8915,"-11,01","($19273,63)"
2024-2025,6,PT0004,-420.05,,406.15,9.723,"-4,18","($7100,90)"
2024-2025,7,PT0004,-255.03,,240.225,9.7645,"-5,04","($8568,85)"
2024-2025,8,PT0004,-450.04,,430.7,16.2575,"-3,08","($5240,25)"
2024-2025,10,PT0004,-230.05,,223.025,4.802,"-2,22","($3779,10)"
2024-2025,11,PT0004,-100.02,,102.3,1.9825,"4,26","$7246,25"
2024-2025,6,PT0005,-479.97,,445.95,34.038,"0,02","$29,70"
2024-2025,7,PT0005,-582.11,,512.9,76.654,"7,44","$12282,60"
2024-2025,8,PT0005,-440,,390,49.112,"-0,89","($1465,20)"
2024-2025,9,PT0005,-236,,201.325,30.2405,"-4,43","($7316,93)"
2024-2025,10,PT0005,-160.04,,142.375,22.887,"5,22","$8616,30"
2024-2025,11,PT0005,-418.46,,378.575,32.342,"-7,54","($12445,95)"
2024-2025,7,PT0007,-280.05,,261.55,7.107,"-11,39","($17659,15)"
2024-2025,8,PT0007,-420.01,,398.275,20.681,"-1,05","($1633,70)"
2024-2025,10,PT0007,-190.03,,180.5,5.9145,"-3,62","($5604,02)"
2024-2025,11,PT0007,-130.04,,115.45,4.571,"-10,02","($15529,45)"
2024-2025,8,PT0008,-170.01,,164.925,6.3665,"1,28","$1922,25"
2024-2025,11,PT0008,-53.95,,52.875,1.663,"0,59","$882,00"
2024-2025,7,PT0009,-215,,201.125,16.7425,"2,87","$5735,00"
